country,fix,equipment,engineers,sn,oem,year,model,hospital,notes,result
Rwanda,Electric Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Broken light fixture replaced.,Repaired
Rwanda,Electric Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Broken light fixture replaced.,Repaired
Rwanda,Electric Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Broken light fixture replaced.,Repaired
Rwanda,Electric Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Broken light fixture replaced.,Repaired
Rwanda,Electric Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Broken light fixture replaced.,Repaired
Rwanda,Electric Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Broken light fixture replaced.,Repaired
Rwanda,Electric Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Broken light fixture replaced.,Repaired
Rwanda,Electric Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Broken light fixture replaced.,Repaired
Rwanda,Electric Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Broken light fixture replaced.,Repaired
Rwanda,Electric Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Broken light fixture replaced.,Repaired
Rwanda,Electric Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Broken light fixture replaced.,Repaired
Rwanda,Electric Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Broken light fixture replaced.,Repaired
Rwanda,Electric Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Broken light fixture replaced.,Repaired
Rwanda,Electric Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Broken light fixture replaced.,Repaired
Rwanda,Electric Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Broken light fixture replaced.,Repaired
Rwanda,Electric Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Broken light fixture replaced.,Repaired
Rwanda,Electric Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Broken light fixture replaced.,Repaired
Rwanda,Electric Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Broken light fixture replaced.,Repaired
Rwanda,Electric Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Broken light fixture replaced.,Repaired
Rwanda,Plumbing,Oxygen Concentrator,"Kevin Jiang, Nitin Panwar",1196I029039,Puritan Bennett,2015,Companion 590i,"Nyagatare Hospital, Nyagatare",Replaced leaky tubing. Removed corroded insulation.,Abandoned
Rwanda,Mechanical Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Replaced leaky piping on toilet.,Repaired
Rwanda,Mechanical Simple,Projector,"Kevin Jiang, Nitin Panwar",QUTO81102202,Viewsonic ,2015,PJ560D,"Nyagatare Hospital, Nyagatare",Cleaned lenses and mirrors.,Abandoned
Rwanda,Electric Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Broken light fixture. Replaced starter.,Repaired
Rwanda,Electric Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Broken light fixture. Replaced starter.,Repaired
Rwanda,Electric Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Broken light fixture. Replaced starter.,Repaired
Rwanda,Electric Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Broken light fixture replaced.,Repaired
Rwanda,Electric Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Broken light fixture replaced.,Repaired
Rwanda,Electric Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Broken light fixture replaced.,Repaired
Rwanda,Electric Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Broken light fixture replaced.,Repaired
Rwanda,Electric Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Broken light fixture replaced.,Repaired
Rwanda,Electric Simple,Other,"Kevin Jiang, Nitin Panwar",N/A,N/A,2015,N/A,"Nyagatare Hospital, Nyagatare",Broken light fixture replaced.,Repaired
Rwanda,Other,Pulse Oximeter,Davis Boatright and Brian Ramos,M21809270,Acare,2015,AH-M1,Ginduwe Hospical/Bushenge Hospital,Broken Cable/Sensor probe. Replacement sensor was found.,Repaired
Rwanda,Other,Patient Monitor,Davis Boatright and Brian Ramos,BY-92110112,Mindray,2015,VS-800,Ginduwe Hospical/Bushenge Hospital,Broken Cable/Sensor probe for pulse oximeter is broken.,Abandoned
Rwanda,Plumbing,Patient Monitor,Davis Boatright and Brian Ramos,BY-92110112,Mindray,2015,VS-800,Ginduwe Hospical/Bushenge Hospital,Leak in non invasive blood pressure cuff sleeve. Fixed using epoxy and super glue.,Repaired
Rwanda,Installation/Training,"Oven (laboratory, not kitchen)",Davis Boatright and Brian Ramos,DKN811B4100016,Yamato,2015,DKN 810,Ginduwe Hospical/Bushenge Hospital,"Incorrect overheating settings causing oven to read Error 19 (overheating). Using the manual we were able to change the settings to correct overheating temperature, and oven now works perfectly. ",Repaired
Rwanda,,Other,Davis Boatright and Brian Ramos,LS04095,Angelantoni Life Science,2015,,Ginduwe Hospical/Bushenge Hospital,"Refridgerator is working, but he freezer is unable to reach set temperature. After do basic cleaning that was suggested by the service manaul, and letting any ice that had formed around the tubes thaw, the freezer now works well.",Repaired
Rwanda,Other,UPS (battery backup for computer),Davis Boatright and Brian Ramos,VS110138142,APC,2015,Smart-UPS 2200,Ginduwe Hospical/Bushenge Hospital,"Indicates that battery needs to be replaced. Batteries were checked, and have correct voltage. Top pannel was opened and it was determined that two capicitors have been fried. ",Abandoned
Rwanda,Mechanical Simple,Ophthalmoscope (eye examination instrument) ,Davis Boatright and Brian Ramos,893638.0,Zeiss,2015,319300-9231,Ginduwe Hospical/Bushenge Hospital,"Loose and missing screws making slit lamp unusable. Realinged the part, and tightened screws, and found replacemnt for missing screws. ",Repaired
Rwanda,,Washing Machine,Davis Boatright and Brian Ramos,43448.0,Danube,2015,WED25,Ginduwe Hospical/Bushenge Hospital,"Wahing machine was stopping mid cycle. Problem was not found, but the circuit breaker was turned off then on, and now the machine seems to work fine.",Repaired
Rwanda,Mechanical Simple,"Autoclave (lab, surgery, and other)",Davis Boatright and Brian Ramos,##,Eastern Medical ,2015,EA-632,Ginduwe Hospical/Bushenge Hospital,"Autoclave: the autoclave being used by the hospital was not heating to correct temperature and also not draining after the cycle was complete. First began by checking the filter and the tubing to see if it was clogged. The filter and tubing was cleaned, but autoclave still did not drain properly. It was determined that the electronic valve that releases the water was not functioning correctly. 

We started a cycle with the lid open to see if the heating element was working. The bottom element was not heating, making it impossible for the autoclave to sterilize. First checked power supply, and to our surprise there was sufficient power being supplied to the heating element. Using the multimeter we found that there was not continuity in the heating element.  Removed the heating element and cleaned it, but this did not fix the continuity problem. 

Our BMETs told us there was an identical autoclave in storage that was not working and had not been used in over 10 years. We tested the autoclave in storage, and found that it had a working heating element and control panel that was in much better condition. The problem was that it was missing a few parts like the electric valve, pressure release valve, back panel, and handles for opening the autoclave. It was also not getting sufficient power to the heating element and control panel. We double-checked the circuitry of the machine and found that a few of the connections had been removed, not allowing power to get to certain components. After reconnecting the cables, we were able to get power to the entire autoclave. We took the missing parts from the other autoclave, and got it to run a complete cycle! After a few tests, we can say we that we have a fully functioning autoclave for the hospital to use! 
",Repaired
Rwanda,Other,Incubator (infant),Davis Boatright and Brian Ramos,41265.0,Weyer,2015,WY2410,Ginduwe Hospical/Bushenge Hospital,"Error alarm sounding immediately once turned on. French is set language for machine. To make easier to diagnose the problem, we found out how to change the language to English in the settings menu. Once in English, it was determined that there were two error alarms going off on the incubator. The first was an indicating a low battery for the alarm. The second was indicating a malfunctioning patient sensor. This machine was one of two identical infant incubators in the room. We took the same sensor from the other incubator and tried it with the broken incubator. There was no alarm. Therefore we assumed that the sensor must be faulty. To confirm this, we plugged it into the working incubator. Surprisingly, it worked.

Low battery alarm, took out lithium battery inside machine. Turned out to be the Ram battery. The alarm battery was actually missing.  Need to replace.  Contacted the manufacturer and they gave us the exact specifications on replacing the alarm battery. 

The alarm battery is a standard Lithium battery size AA 3,6V / 2200mAh.

Low water level alarm was sounding. We simply added water to the distilled water supply. 

Ram battery error: After removing the Ram batter, and putting it back in, the machine was giving us an error. We were not able to find the fix for the error initially. Contacted the manufacturer, and they responded with. 

When the monitor is not working after replacement of the RAM battery and if the alarm is still there, the monitor must be re-initialized according to the enclosed instruction. For safety sake I also enclose a photo regarding the battery positions and a video showing the re-initialization.

Followed their instructions and now there is no ram batter error alarm.

Incubator Doors: Adhesive on doors of incubator has failed, causing the incubator to have trouble heating. In past, the technicians had used super glue to fix the problem, but that had failed as well.  Contemplated between using epoxy or drilling new holes to connect doors to machine. BMET favored driller new holes to put screws in. This was done and now door works well. 
Error alarm sounding immediately once turned on. French is set language for machine. To make easier to diagnose the problem, we found out how to change the language to English in the settings menu. Once in English, it was determined that there were two error alarms going off on the incubator. The first was an indicating a low battery for the alarm. The second was indicating a malfunctioning patient sensor. This machine was one of two identical infant incubators in the room. We took the same sensor from the other incubator and tried it with the broken incubator. There was no alarm. Therefore we assumed that the sensor must be faulty. To confirm this, we plugged it into the working incubator. Surprisingly, it worked.

Low battery alarm, took out lithium battery inside machine. Turned out to be the Ram battery. The alarm battery was actually missing.  Need to replace.  Contacted the manufacturer and they gave us the exact specifications on replacing the alarm battery. 

The alarm battery is a standard Lithium battery size AA 3,6V / 2200mAh.

Low water level alarm was sounding. We simply added water to the distilled water supply. 

Ram battery error: After removing the Ram batter, and putting it back in, the machine was giving us an error. We were not able to find the fix for the error initially. Contacted the manufacturer, and they responded with. 

When the monitor is not working after replacement of the RAM battery and if the alarm is still there, the monitor must be re-initialized according to the enclosed instruction. For safety sake I also enclose a photo regarding the battery positions and a video showing the re-initialization.

Followed their instructions and now there is no ram batter error alarm.

Incubator Doors: Adhesive on doors of incubator has failed, causing the incubator to have trouble heating. In past, the technicians had used super glue to fix the problem, but that had failed as well.  Contemplated between using epoxy or drilling new holes to connect doors to machine. BMET favored driller new holes to put screws in. This was done and now door works well. 
Error alarm sounding immediately once turned on. French is set language for machine. To make easier to diagnose the problem, we found out how to change the language to English in the settings menu. Once in English, it was determined that there were two error alarms going off on the incubator. The first was an indicating a low battery for the alarm. The second was indicating a malfunctioning patient sensor. This machine was one of two identical infant incubators in the room. We took the same sensor from the other incubator and tried it with the broken incubator. There was no alarm. Therefore we assumed that the sensor must be faulty. To confirm this, we plugged it into the working incubator. Surprisingly, it worked.

Low battery alarm, took out lithium battery inside machine. Turned out to be the Ram battery. The alarm battery was actually missing.  Need to replace.  Contacted the manufacturer and they gave us the exact specifications on replacing the alarm battery. 

The alarm battery is a standard Lithium battery size AA 3,6V / 2200mAh.

Low water level alarm was sounding. We simply added water to the distilled water supply. 

Ram battery error: After removing the Ram batter, and putting it back in, the machine was giving us an error. We were not able to find the fix for the error initially. Contacted the manufacturer, and they responded with. 

When the monitor is not working after replacement of the RAM battery and if the alarm is still there, the monitor must be re-initialized according to the enclosed instruction. For safety sake I also enclose a photo regarding the battery positions and a video showing the re-initialization.

Followed their instructions and now there is no ram batter error alarm.

Incubator Doors: Adhesive on doors of incubator has failed, causing the incubator to have trouble heating. In past, the technicians had used super glue to fix the problem, but that had failed as well.  Contemplated between using epoxy or drilling new holes to connect doors to machine. BMET favored driller new holes to put screws in. This was done and now door works well. 
",Repaired
Rwanda,Mechanical Simple,Incubator (infant),Davis Boatright and Brian Ramos,5012483.0,David Medical Device,2015,YP-90A,Ginduwe Hospical/Bushenge Hospital,Overheating alarm was going off. Incubator was opened and the fan and heating element were very dirty. Heating element and fan was cleaned with cloth and compressed air. Infant Incubator works perfectly now. ,Repaired
Rwanda,,Incubator (infant),Davis Boatright and Brian Ramos,4141253.0,Cobams ,2015,CRISTINA SCH 004,Ginduwe Hospical/Bushenge Hospital,Nurses need help understanding how to properly use the equipment. Operators Manual was found in a compartment of equipment. Bed inside the incubator was not set correctly causing adjustment problems. It  was re-aligned and now set correctly. ,Repaired
Rwanda,Electric Simple,X-Ray Machine,Davis Boatright and Brian Ramos,2093.0,Siemens,2015,5760082.0,Ginduwe Hospical/Bushenge Hospital,"X-ray technician informed us of an error that the machine was displaying. The error was Err 0022, and was not letting the machine perform x-rays. Using the service manual it was determined that the error was being caused by a problem with the generator. The service manual gave us two things to try to erase the problem. First erase the memory, then shut off the generator and turn back on. This did not fix the error. The service manual told us to contact a Siemens representative is problem was not resolved. We found a rep in Kigali and immediately called. Handed the phone to x-ray tech who new the rep. This helped get the ball rolling on having the rep come out and help fix the x-ray machine. This was important because it is a new machine and still under warranty.  After further research, it we determined that the problem was in one of the contact pads in the xray machine. Since machine is under warranty, we thought it would be better to wait for Siemens rep who was scheduled to come on Thursday.",Repaired
Rwanda,Installation/Training,Centrifuge,Davis Boatright and Brian Ramos,?,?,2015,?,Ginduwe Hospical/Bushenge Hospital,Assembled Centrifuge with BMET and Lab technician. ,Repaired
Rwanda,Electric Simple,Other,Davis Boatright and Brian Ramos,none,IPU,2015,none,Ginduwe Hospical/Bushenge Hospital,Sysmex software troubleshooting. Lab tech couldn’t find old patient data. Showed her how to use the search function to find old data using the patient ID number.,Repaired
Rwanda,Plumbing,Oxygen Concentrator,Davis Boatright and Brian Ramos,KS2011020,KS-5,2015,none,Ginduwe Hospical/Bushenge Hospital,Oxygen Concentration was not reaching and staying at desired maximum pressure level. Checked Tubing and found leak. Replaced tubing with some spare tubing found in the workshop.,Repaired
Rwanda,Plumbing,Other,Davis Boatright and Brian Ramos,4345.0,CAMI,2015,HOSPIVAC ,Ginduwe Hospical/Bushenge Hospital,"was not producing adequate pressure to suck fluid at desired rate. Checked all tubing for leaks, and none was found. It was determined that the motor was not producing enough pressure. Cleaned the motor head, and the fan, and there was no improvement.  After further observation, we found that the seal that closes the eshaust valve from the intake valve was not sealed correctly. After working on the valve seal and getting a tight fit, the suction machine now produces the proper suction. ",Repaired
Rwanda,,ECG Machine,Davis Boatright and Brian Ramos,1217.0,Siemens,2015,ELEMA AB,Ginduwe Hospical/Bushenge Hospital,"Machine wont get past startup loading screen, not able to fix the problem.",Abandoned
Rwanda,Plumbing,Oxygen Concentrator,Davis Boatright and Brian Ramos,IEC60601,Invacare,2015,Perfecto,Ginduwe Hospical/Bushenge Hospital,"The oxygen concentrator was not producing adequate flow volume of O2. Cleaned out the tubing and replaced the filter, and now the machine works perfectly.  ",Repaired
Rwanda,Plumbing,Other,Davis Boatright and Brian Ramos,N/A,Narang Medical ,2015,N/A,Ginduwe Hospical/Bushenge Hospital,"suction machine not functioning properly for the users. Cleaned filters, made sure the tubing connections were secure, and removed one of the canisters that was broken and causing most the problems. Cleaned the machine and put it back in service.",Repaired
Rwanda,Plumbing,Nebulizer,Davis Boatright and Brian Ramos,0309-E10916,Alolos Medical,2015,009H-40-A,Ginduwe Hospical/Bushenge Hospital,,Repaired
Rwanda,Plumbing,Nebulizer,Davis Boatright and Brian Ramos,0011-D1179,Alolos Medical,2015,L0A-P107-NN,Ginduwe Hospical/Bushenge Hospital,,Repaired
Rwanda,Installation/Training,Scales (laboratory and in wards),Davis Boatright and Brian Ramos,2.72528807637e+13,Seca,2015,725 1021009,Ginduwe Hospical/Bushenge Hospital,User did not know how to properly use the scale. ,Repaired
Rwanda,Power Supply,"Autoclave (lab, surgery, and other)",Davis Boatright and Brian Ramos,387.0,AJC,2015,Uniclave 77,Ginduwe Hospical/Bushenge Hospital,Had to re wire power supply connection to for the autoclave,Repaired
Nicaragua,Electric Simple,Air Conditioner,"Kathy Lee, Anita Desai",,Samsung,2015,Silver Nano,"Hospital La Trinidad, La Trinidad, Esteli","Initially the unit only made one sound and had no other indications of electricity when plugged in (power button didn't work). We took off the cover and opened up the electrical components, checking continuty from the plug with a multimeter. Many of the connections were plugs with plastic covers that could be pulled off and replaced, which we did to check continuity. We also cleaned a little with a brush. We also unscrewed the circuit board to make sure everything was still soldered onto it. After putting the electrical components back together we tested the unit using a wire attached to a plug, since the shape of the unit didn't match the outlets in the workshop. The unit also required 220 V, but we tried it on 125 V. The unit turned on, we could adjust temperature, and air was flowing. We put the unit back together and put it back in the office to test it, where the outlet matched the plug and measured at 200 V. The unit worked in the office.",Repaired
Nicaragua,Mechanical Simple,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Kathy Lee, Anita Desai",,,2015,,"Hospital La Trinidad, La Trinidad, Esteli","We were given 2 adult and 1 child sphygmomanometers by the emergency room as well as broken parts from another one. We found a box of broken sphygmomanometers in the maintenance department. Through a combination of trimming the edge of tubing and reconnecting it to bulbs and manometers as well as turning needles to recalibrate manometers, we managed to put together enough working parts for 6 functioning sphygmomanometers. We also had a working infant sized one, but the cloth and velcro casing was missing.",Repaired
Nicaragua,Mechanical Simple,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Kathy Lee, Anita Desai",,,2015,,"Hospital La Trinidad, La Trinidad, Esteli","We were given 2 adult and 1 child sphygmomanometers by the emergency room as well as broken parts from another one. We found a box of broken sphygmomanometers in the maintenance department. Through a combination of trimming the edge of tubing and reconnecting it to bulbs and manometers as well as turning needles to recalibrate manometers, we managed to put together enough working parts for 6 functioning sphygmomanometers. We also had a working infant sized one, but the cloth and velcro casing was missing.",Repaired
Nicaragua,Mechanical Simple,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Kathy Lee, Anita Desai",,,2015,,"Hospital La Trinidad, La Trinidad, Esteli","We were given 2 adult and 1 child sphygmomanometers by the emergency room as well as broken parts from another one. We found a box of broken sphygmomanometers in the maintenance department. Through a combination of trimming the edge of tubing and reconnecting it to bulbs and manometers as well as turning needles to recalibrate manometers, we managed to put together enough working parts for 6 functioning sphygmomanometers. We also had a working infant sized one, but the cloth and velcro casing was missing.",Repaired
Nicaragua,Mechanical Simple,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Kathy Lee, Anita Desai",,,2015,,"Hospital La Trinidad, La Trinidad, Esteli","We were given 2 adult and 1 child sphygmomanometers by the emergency room as well as broken parts from another one. We found a box of broken sphygmomanometers in the maintenance department. Through a combination of trimming the edge of tubing and reconnecting it to bulbs and manometers as well as turning needles to recalibrate manometers, we managed to put together enough working parts for 6 functioning sphygmomanometers. We also had a working infant sized one, but the cloth and velcro casing was missing.",Repaired
Nicaragua,Mechanical Simple,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Kathy Lee, Anita Desai",,,2015,,"Hospital La Trinidad, La Trinidad, Esteli","We were given 2 adult and 1 child sphygmomanometers by the emergency room as well as broken parts from another one. We found a box of broken sphygmomanometers in the maintenance department. Through a combination of trimming the edge of tubing and reconnecting it to bulbs and manometers as well as turning needles to recalibrate manometers, we managed to put together enough working parts for 6 functioning sphygmomanometers. We also had a working infant sized one, but the cloth and velcro casing was missing.",Repaired
Nicaragua,Mechanical Simple,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Kathy Lee, Anita Desai",,,2015,,"Hospital La Trinidad, La Trinidad, Esteli","We were given 2 adult and 1 child sphygmomanometers by the emergency room as well as broken parts from another one. We found a box of broken sphygmomanometers in the maintenance department. Through a combination of trimming the edge of tubing and reconnecting it to bulbs and manometers as well as turning needles to recalibrate manometers, we managed to put together enough working parts for 6 functioning sphygmomanometers. We also had a working infant sized one, but the cloth and velcro casing was missing.",Repaired
Nicaragua,Mechanical Simple,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Kathy Lee, Anita Desai",,,2015,,"Hospital La Trinidad, La Trinidad, Esteli","We were given 2 adult and 1 child sphygmomanometers by the emergency room as well as broken parts from another one. We found a box of broken sphygmomanometers in the maintenance department. Through a combination of trimming the edge of tubing and reconnecting it to bulbs and manometers as well as turning needles to recalibrate manometers, we managed to put together enough working parts for 6 functioning sphygmomanometers. We also had a working infant sized one, but the cloth and velcro casing was missing.",Repaired
Nicaragua,Mechanical Simple,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Kathy Lee, Anita Desai",,,2015,,"Hospital La Trinidad, La Trinidad, Esteli","We were given 2 adult and 1 child sphygmomanometers by the emergency room as well as broken parts from another one. We found a box of broken sphygmomanometers in the maintenance department. Through a combination of trimming the edge of tubing and reconnecting it to bulbs and manometers as well as turning needles to recalibrate manometers, we managed to put together enough working parts for 6 functioning sphygmomanometers. We also had a working infant sized one, but the cloth and velcro casing was missing.",Repaired
Nicaragua,Motor,Nebulizer,"Kathy Lee, Anita Desai",M2011533,Spider-Neb,2015,18020.0,"Hospital La Trinidad, La Trinidad, Esteli","Found broken nebulizer in maintenance workshop. Opened it up, found it was missing a piston for the motor. Tried to find another piston from other broken nebulizer parts but were different brands and thus not compatible.",Abandoned
Nicaragua,Motor,Nebulizer,"Kathy Lee, Anita Desai",71116.0,Omron,2015,NEC-18,"Hospital La Trinidad, La Trinidad, Esteli","We were given two nebulizers by the nurses in medicine. When we tested them we found that they turned on but the air was too weak to produce vapor. We opened this one up and found that the seal on the piston attached to the motor to compress air was worn, so we looked through many broken nebulizers that we found in the maintenence department that were completely ruined for salvagable seals. We found one that looked ok, but it wouldn't fit the one we had. The others were completely missing pistons. We made a makeshift seal out of a rubber like material that we found in the workshop which seemed durable. The nebulizer functioned with it and the air was slightly stronger, but still not strong enough to vaporize.",Abandoned
Nicaragua,Motor,Nebulizer,"Kathy Lee, Anita Desai",,Mada,2015,277.0,"Hospital La Trinidad, La Trinidad, Esteli","We were given two nebulizers by the nurses in medicine. When we tested them we found that they turned on but the air was too weak to produce vapor. We opened this one up and found that the seal on the piston attached to the motor to compress air was folded against the piston and thus probably not sealing properly. We straightened the seal a little bit more to span the piston better and put it back together, however two of the screws that we removed did not fit properly, probably because they were put in by a machine during fabrication. We tightened them as much as possible, and the motor functioned, but the air was still not strong enough to vaporize.",Abandoned
Nicaragua,Installation/Training,Incubator (infant),"Kathy Lee, Anita Desai",,Fanem,2015,Vision2186,"Hospital La Trinidad, La Trinidad, Esteli","The nurses in the maternity ward asked us to look at the incubator, which looked clean and in good condition. When she turned the incubator on, a red light and sound for an alarm came on. The light was in the shape of an electrical plug, so I asked the nurse to show me the outlet in the wall. She then realized that the incubator wasn't plugged in. We realized that she didn't think to check the power supply because the machine turned on, running on the battery.",Repaired
Nicaragua,Mechanical Simple,Air Compressor,"Kathy Lee, Anita Desai",1190.0,GASTI,2015,0522-(illegible),"Hospital La Trinidad, La Trinidad, Esteli","The air compressor, used as a vacuum in the prosthetics lab, did not function because all of the tubing was blocked. We took apart the compressor and found rememnants of bees that formed tunnels inside of it, filling the tubes with dirt. We cleaned the tubes and motor with WD-40, rags, water, and screwdrivers. Once it was cleaned, we tested the vacuum. It began to get hot, so we oiled the motor and put it back into service. The prosthetics technician plans to set up a second vacuum station with it.",Repaired
Nicaragua,Mechanical Simple,Air Compressor,"Kathy Lee, Anita Desai",,GASTI,2015,1023-V131Q-0608X,"Hospital La Trinidad, La Trinidad, Esteli","This air compressor was in use in the prosthetics lab as a vacuum to help the plastic coating of prosthetics shrink to the exact shape of the plaster underneath. We took it apart and cleaned it, finding tunnels made by bees, a gecko skeleton, and gecko eggs. The prosthetics technician helped us take it apart and broke a filter holder, which we put back together with epoxy. After cleaning and lubrication the vacuum was returned to service. ",Repaired
Nicaragua,Power Supply,"Lamp, surgical","Kathy Lee, Anita Desai",6.53012163299e+12,Heraus,2015,2270.0,"Hospital La Trinidad, La Trinidad, Esteli","We found a tall surgical lamp in the maintenance workshop. When we plugged it in, it didn't work, so we opened the lamp up to check the bulb and continuity. As we were checking it, the retired maintenance guy came into the workshop and told us that the lamp functioned, but was not in use because it required 220 V and the rooms only had 110 V. The hospital didn't have the transformer to make it work. We put the lamp back together and plugged it into 220 V and it worked, however it is still not in service.",Abandoned
Nicaragua,,Scales (laboratory and in wards),"Kathy Lee, Anita Desai",,,2015,,"Hospital La Trinidad, La Trinidad, Esteli","A regular bathroom scale was in the maintenance department, unused. We cleaned it and recalibrated it by turning the calibration wheel on the bottom. It functions, but is still sitting in the maintenance department for now.",Repaired
Nicaragua,Power Supply,Scales (laboratory and in wards),"Kathy Lee, Anita Desai",E28405-0196,Cardinal Detecto,2015,758C,"Hospital La Trinidad, La Trinidad, Esteli","Gynecology had a battery powered scale that would not turn on. When we checked the battery case it was empty, so we got new batteries and cleaned it. We realized that without the cover to the battery compartment they were falling out, so we found some foam insulation and put it inside of the battery compartment and then cut small wooden boards to span the opening to the compartment and hold the insulation in place.",Repaired
Nicaragua,Electric Simple,Fetal steth (fetoscope or  Doppler),"Kathy Lee, Anita Desai",CFD-20B,,2015,Kangaroo,"Hospital La Trinidad, La Trinidad, Esteli","Two dopplers were sitting in the administrative office. The doppler turned on and made static sounds, occasionally showing a number, but was otherwise nonfunctioning. The office lady explained to us that the problem was the wire on the probe. We noticed that the wire was damaged and the shielding partly stripped. Someone had tried to fix the probe before us, connecting the shielding on the wire to the shielding on the probe with an extra wire without covering the exposed wire with shielding. They then had put a red polymer on top, which looked like a liquid or gel that was supposed to insulate the wire once it dried. We picked off the red material, disconnected the extra wire, and shielded the wire and probe with tin foil. We checked continuity to make sure that the shielding on the wire was attached to the shielding on the probe. We hypothesized that  whoever tried to fix it before us didn't realize that it was shielding instead of a physical connection. We shielded everything and sealed it in place with heat shrink. When it was plugged into the doppler we found that we got more sounds and more numbers, but they still weren't accurate and a consistent heartbeat was not heard. The casing needed to be taped, so we were worried that the tape near the top of the probe was interfering with the signal or that the electrode connection was bad.",
